"ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating (numeric)","ProsperRating (Alpha)","ProsperScore","ListingCategory (numeric)","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent (percentage)","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"1021339766868145413AB3B","193129","2007-08-26 19:09:29.263000000","C","36","Completed","2009-08-14 00:00:00",".165160",".158000",".138000","","","","","","","0","CO","Other","Self-employed","2","True","True","","2007-08-26 18:41:46.780000000","640","659","2001-10-11 00:00:00","5","4","12","1","24.000000","3","3.000000","2","472.000000","4","0","0",".000000",".000000","1500.000000","11.000000",".810000",".000000",".170000","$25,000-49,999","True","3083.333333","E33A3400205839220442E84","","","","","","","","","0","","78","19141","9425","2007-09-12 00:00:00","Q3 2007","1F3E3376408759268057EDA","330.430000","11396.140000","9425.000000","1971.140000","-133.180000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","258"
"10273602499503308B223C1","1209647","2014-02-27 08:28:07.900000000","","36","Current","",".120160",".092000",".082000",".079600",".024900",".054700","6","A","7.000000","2","CO","Professional","Employed","44","False","False","","2014-02-27 08:28:14","680","699","1996-03-18 00:00:00","14","14","29","13","389.000000","3","5.000000","0",".000000","0","1","0","3989.000000",".210000","10266.000000","29.000000","1.000000","2.000000",".180000","$50,000-74,999","True","6125.000000","9E3B37071505919926B1D82","","","","","","","","","0","","0","134815","10000","2014-03-03 00:00:00","Q1 2014","1D13370546739025387B2F4","318.930000",".000000",".000000",".000000",".000000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0EE9337825851032864889A","81716","2007-01-05 15:00:47.090000000","HR","36","Completed","2009-12-17 00:00:00",".282690",".275000",".240000","","","","","","","0","GA","Other","Not available","","False","True","783C3371218786870A73D20","2007-01-02 14:09:10.060000000","480","499","2002-07-27 00:00:00","","","3","0",".000000","0","1.000000","1","","0","0","","","","","","","",".060000","Not displayed","True","2083.333333","6954337960046817851BCB2","","","","","","","","","0","","86","6466","3001","2007-01-17 00:00:00","Q1 2007","5F7033715035555618FA612","123.320000","4186.630000","3001.000000","1185.630000","-24.200000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","41"
"0EF5356002482715299901A","658116","2012-10-22 11:02:35.010000000","","36","Current","",".125280",".097400",".087400",".084900",".024900",".060000","6","A","9.000000","16","GA","Skilled Labor","Employed","113","True","False","","2012-10-22 11:02:32","800","819","1983-02-28 00:00:00","5","5","29","7","115.000000","0","1.000000","4","10056.000000","14","0","0","1444.000000",".040000","30754.000000","26.000000",".760000",".000000",".150000","$25,000-49,999","True","2875.000000","A0393664465886295619C51","","","","","","","","","0","","16","77296","10000","2012-11-01 00:00:00","Q4 2012","9ADE356069835475068C6D2","321.450000","5143.200000","4091.090000","1052.110000","-108.010000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","158"
"0F023589499656230C5E3E2","909464","2013-09-14 18:38:39.097000000","","36","Current","",".246140",".208500",".198500",".183160",".092500",".090660","3","D","4.000000","2","MN","Executive","Employed","44","True","False","","2013-09-14 18:38:44","680","699","2004-02-20 00:00:00","19","19","49","6","220.000000","1","9.000000","0",".000000","0","0","0","6193.000000",".810000","695.000000","39.000000",".950000","2.000000",".260000","$100,000+","True","9583.333333","A180369302188889200689E","1","11","11","0","0","11000.000000","9947.900000","","0","","6","102670","15000","2013-09-20 00:00:00","Q3 2013","36CE356043264555721F06C","563.970000","2819.850000","1563.220000","1256.630000","-60.270000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","20"
"0F05359734824199381F61D","1074836","2013-12-14 08:26:37.093000000","","60","Current","",".154250",".131400",".121400",".115670",".044900",".070770","5","B","10.000000","1","NM","Professional","Employed","82","True","False","","2013-12-14 08:26:40","740","759","1973-03-01 00:00:00","21","17","49","13","1410.000000","0","2.000000","0",".000000","0","0","0","62999.000000",".390000","86509.000000","47.000000","1.000000",".000000",".360000","$100,000+","True","8333.333333","C3D63702273952547E79520","","","","","","","","","0","","3","123257","15000","2013-12-24 00:00:00","Q4 2013","874A3701157341738DE458F","342.370000","679.340000","351.890000","327.450000","-25.330000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F0A3576754255009D63151","750899","2013-04-12 09:52:56.147000000","","36","Current","",".310320",".271200",".261200",".238200",".127500",".110700","2","E","2.000000","1","KS","Sales - Retail","Employed","172","False","False","","2013-04-12 09:52:53","680","699","2000-09-29 00:00:00","10","7","20","6","214.000000","0",".000000","0",".000000","0","0","0","5812.000000",".720000","1929.000000","16.000000",".680000",".000000",".270000","$25,000-49,999","True","2083.333333","CE963680102927767790520","","","","","","","","","0","","11","88353","3000","2013-04-18 00:00:00","Q2 2013","AA4535764146102879D5959","122.670000","1226.700000","604.250000","622.450000","-22.950000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F1035772717087366F9EA7","768193","2013-05-05 06:49:27.493000000","","36","Current","",".239390",".201900",".191900",".178300",".079900",".098400","4","C","4.000000","2","CA","Laborer","Employed","103","False","False","","2013-05-05 06:49:25","700","719","1999-02-25 00:00:00","6","6","10","5","101.000000","3","16.000000","0",".000000","0","1","0","1260.000000",".130000","2181.000000","10.000000",".800000",".000000",".240000","$25,000-49,999","True","3355.750000","0C87368108902149313D53B","","","","","","","","","0","","10","90051","10000","2013-05-13 00:00:00","Q2 2013","737F347089545035681C074","372.600000","3353.400000","1955.890000","1397.510000","-69.210000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F043596202561788EA13D5","1023355","2013-12-02 10:43:39.117000000","","36","Current","",".076200",".062900",".052900",".052210",".009900",".042310","7","AA","9.000000","7","IL","Food Service","Employed","269","True","False","","2013-12-02 10:43:39","820","839","1993-04-01 00:00:00","17","16","32","12","219.000000","1","6.000000","0",".000000","0","0","0","9906.000000",".110000","77696.000000","29.000000","1.000000","1.000000",".250000","$25,000-49,999","True","3333.333333","02163700809231365A56A1C","","","","","","","","","0","","3","121268","10000","2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66","305.540000","611.080000","505.580000","105.500000","-16.770000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F043596202561788EA13D5","1023355","2013-12-02 10:43:39.117000000","","36","Current","",".076200",".062900",".052900",".052210",".009900",".042310","7","AA","11.000000","7","IL","Food Service","Employed","269","True","False","","2013-12-02 10:43:39","820","839","1993-04-01 00:00:00","17","16","32","12","219.000000","1","6.000000","0",".000000","0","0","0","9906.000000",".110000","77696.000000","29.000000","1.000000","1.000000",".250000","$25,000-49,999","True","3333.333333","02163700809231365A56A1C","","","","","","","","","0","","3","121268","10000","2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66","305.540000","611.080000","505.580000","105.500000","-16.770000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F123545674891886D9F106","587746","2012-05-10 07:04:01.577000000","","60","Current","",".274620",".248900",".238900",".233200",".089000",".144200","4","C","7.000000","1","MD","Fireman","Employed","300","False","False","","2012-04-22 08:38:09","640","659","1989-11-29 00:00:00","2","2","56","4","25.000000","1","2.000000","1","253.000000","28","1","0","387.000000",".510000","363.000000","47.000000",".720000",".000000",".120000","$75,000-99,999","True","7500.000000","7C083651269973612460D6D","","","","","","","","","0","","22","65946","13500","2012-05-17 00:00:00","Q2 2012","495135444217488604DC05A","395.370000","8302.770000","2975.240000","5327.530000","-214.040000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","19"
"0F1734025150298088A5F2B","213551","2007-10-09 20:28:33.640000000","C","36","Completed","2008-01-07 00:00:00",".150330",".132500",".122500","","","","","","","0","","Waiter/Waitress","Full-time","19","False","False","","2007-10-08 13:13:44.363000000","640","659","2000-11-13 00:00:00","2","2","10","1","40.000000","3","5.000000","3","2224.000000","1","0","0","1220.000000",".320000","2580.000000","7.000000",".400000",".000000",".270000","$1-24,999","True","1666.666667","F375340302234633830A957","","","","","","","","","0","","77","20907","1000","2007-10-18 00:00:00","Q4 2007","59423376541417552B94BD3","33.810000","1011.650000","1000.000000","11.650000","-.880000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","53"
"0F1A3597143888805163EF7","1081604","2013-12-15 20:01:10.757000000","","36","Past Due (1-15 days)","",".179690",".143500",".133500",".126400",".052400",".074000","5","B","4.000000","1","AL","Sales - Retail","Employed","1","False","False","","2013-12-15 20:01:13","680","699","1996-11-09 00:00:00","9","7","29","8","290.000000","1","4.000000","0",".000000","0","0","0","8624.000000",".700000","3626.000000","20.000000","1.000000",".000000",".180000","$25,000-49,999","True","2416.666667","209F3701889728853CD17F7","","","","","","","","","3","","2","125045","4000","2014-01-07 00:00:00","Q1 2014","9F9C37005448788963E33D3","137.390000","135.817400","88.640000","47.177400","-3.400000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F1C3583260311305D68F87","840820","2013-07-15 16:28:28.087000000","","36","Current","",".131380",".103400",".093400",".090500",".027400",".063100","6","A","8.000000","1","AZ","Construction","Employed","98","True","False","","2013-07-11 16:51:03","740","759","2007-03-20 00:00:00","9","8","18","8","260.000000","0","2.000000","0",".000000","0","0","0","9171.000000",".320000","19129.000000","18.000000",".940000",".000000",".090000","$50,000-74,999","True","5833.333333","C7F936888258982629356F0","","","","","","","","","0","","8","96202","8500","2013-07-18 00:00:00","Q3 2013","576B35832224805087429E3","275.630000","1929.410000","1449.410000","480.000000","-46.420000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","171"
"0F353575943675863D1AFC0","757359","2013-04-19 11:17:41.700000000","","60","Current","",".116950",".094900",".084900",".082700",".022400",".060300","6","A","8.000000","1","VA","Computer Programmer","Employed","35","False","False","","2013-04-19 11:17:38","740","759","1992-07-06 00:00:00","25","22","48","20","823.000000","0","1.000000","0",".000000","0","0","0","32898.000000",".430000","42204.000000","48.000000","1.000000",".000000",".200000","$100,000+","True","10833.333333","2BEF3682506622112EC4790","","","","","","","","","0","","10","90060","19330","2013-05-13 00:00:00","Q2 2013","144D3576034103084EB07BD","415.370000","3738.330000","2428.100000","1310.230000","-138.070000",".000000",".000000",".000000",".000000",".773100","0","0",".000000","371"
"0F483544120452347F48121","577164","2012-04-10 09:14:46.297000000","","36","Defaulted","2012-12-19 00:00:00",".357970",".317700",".307700",".289600",".165000",".124600","1","HR","5.000000","13","FL","Other","Other","121","True","False","","2012-04-10 09:14:41","700","719","1999-03-08 00:00:00","10","9","18","5","300.000000","0","1.000000","0",".000000","0","1","0","9103.000000",".970000","178.000000","17.000000",".940000",".000000",".490000","$50,000-74,999","True","5500.000000","3EE2364952142596779635D","","","","","","","","","140","8","23","63982","4000","2012-04-19 00:00:00","Q2 2012","924335448287456229847ED","173.710000","521.130000","209.750000","311.380000","-9.810000",".000000","3790.250000","3790.250000",".000000","1.000000","0","0",".000000","10"
"0F4835843081468212F0892","841846","2013-07-16 12:42:48.680000000","","60","Current","",".307480",".280900",".270900",".247300",".122500",".124800","2","E","4.000000","6","CA","Professional","Full-time","133","True","False","","2013-07-16 12:42:39","640","659","2001-08-11 00:00:00","6","7","29","3","492.000000","1","3.000000","1","2469.000000","12","0","0","14030.000000","1.000000","27.000000","25.000000",".840000",".000000",".150000","$75,000-99,999","True","8291.666667","2C78368704199057024A715","3","67","67","0","0","10700.000000","4064.870000","-19","0","","8","95921","4000","2013-07-18 00:00:00","Q3 2013","5EEA342856091111796D191","124.760000","873.320000","227.070000","646.250000","-23.010000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","8"
"0FDF336575182398852A8DC","31540","2006-08-15 12:21:09.433000000","AA","36","Chargedoff","2008-05-22 00:00:00",".132020",".125000",".117500","","","","","","","0","","Professional","Not available","","True","True","EF543365873906104DC9A04","2006-08-15 10:56:13.020000000","760","779","1990-05-19 00:00:00","","","36","16","346.000000","7","17.000000","2","","0","0","","","","","","","",".120000","Not displayed","True","5833.333333","51453366538336630763636","","","","","","","","","2239","1","91","2711","10000","2006-08-22 00:00:00","Q3 2006","893E3365582060699EBBADA","334.540000","5325.330000","3987.330000","1338.000000","-54.610000",".000000","6012.650000","6012.670000","268.960000","1.000000","0","0",".000000","85"
"0FF2357105361877390B58D","716058","2013-02-20 03:48:37.470000000","","36","Current","",".125280",".097400",".087400",".084900",".024900",".060000","6","A","7.000000","1","PA","Sales - Commission","Employed","179","False","False","","2013-02-20 03:48:33","740","759","1994-12-20 00:00:00","10","9","34","7","451.000000","0","1.000000","0",".000000","0","0","0","18573.000000",".540000","15507.000000","32.000000","1.000000",".000000",".240000","$75,000-99,999","True","6250.000000","BC2D367678091765710DFF4","","","","","","","","","0","","12","85974","15000","2013-03-11 00:00:00","Q1 2013","D5E335704060526221DB3EC","482.180000","5303.980000","4121.040000","1182.940000","-121.470000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","303"
"0FFC35866018516621B0D3F","875565","2013-08-21 06:49:02.093000000","","60","Current","",".247540",".222500",".212500",".195200",".102500",".092700","3","D","8.000000","1","OR","Laborer","Employed","18","False","False","","2013-10-04 17:49:53","680","699","2007-08-13 00:00:00","15","15","24","8","331.000000","0","2.000000","0",".000000","0","0","0","3140.000000",".600000","1987.000000","20.000000","1.000000",".000000",".410000","$25,000-49,999","True","3075.000000","A02836960150183071E32AD","1","12","12","0","0","8000.000000","5786.000000","","0","","5","105323","6500","2013-10-10 00:00:00","Q4 2013","5C1F3558174611333FDE6AD","180.450000","717.837700","241.160000","476.677700","-21.610000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"101635959323992333B3C70","1011916","2013-11-22 11:35:02.987000000","","36","Current","",".167320",".131400",".121400",".115670",".044900",".070770","5","B","7.000000","1","MN","Retail Management","Employed","175","True","False","","2013-11-22 11:35:09","660","679","1984-12-06 00:00:00","9","9","23","8","548.000000","0","4.000000","0",".000000","0","1","0","20551.000000",".950000","822.000000","21.000000",".950000",".000000",".200000","$50,000-74,999","True","5166.666667","CF0237002370068126643CF","","","","","","","","","0","","4","118374","14000","2013-11-29 00:00:00","Q4 2013","EE87369998817685827DC40","472.660000","1412.940000","969.860000","443.080000","-34.110000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"1017340630713945364DA6B","241498","2007-11-30 20:33:49.227000000","D","36","Completed","2010-12-12 00:00:00",".214880",".207500",".197500","","","","","","","0","MI","Professional","Full-time","36","False","True","6C2E3384236387493493CB6","2007-11-11 14:24:41.350000000","620","639","2003-06-20 00:00:00","4","4","13","3","15.000000","0","8.000000","1","5200.000000","5","1","0","134.000000",".080000","1366.000000","6.000000",".370000",".000000",".090000","$25,000-49,999","True","3750.000000","AAE33407411466742AA4570","","","","","","","","","0","","75","23565","3000","2007-12-12 00:00:00","Q4 2007","27F53404042184361C6DCD9","112.640000","4061.050000","3000.000000","1061.050000","-51.120000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","53"
"101735700321773921526BF","706927","2013-01-30 09:36:13.783000000","","36","Current","",".353560",".313400",".303400",".276000",".157500",".118500","1","HR","2.000000","1","NY","Other","Other","68","False","False","","2013-01-30 09:36:09","700","719","1988-03-01 00:00:00","9","9","18","8","617.000000","0",".000000","0",".000000","0","1","0","10050.000000",".400000","4465.000000","17.000000",".760000",".000000","9.200000","$1-24,999","True","118.333333","8D313674169912018750992","","","","","","","","","0","","13","84693","4000","2013-02-05 00:00:00","Q1 2013","E09A35706330259139A80F8","172.760000","2073.120000","951.000000","1122.120000","-35.800000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","94"
"101B35764008108187B2EBA","758964","2013-04-22 13:29:19.073000000","","36","Defaulted","2013-12-26 00:00:00",".280320",".241900",".231900",".212600",".107500",".105100","3","D","5.000000","15","IL","Skilled Labor","Employed","3","False","False","","2013-04-22 13:29:14","680","699","1998-06-09 00:00:00","7","7","34","5","245.000000","0",".000000","0",".000000","0","0","0","7975.000000",".840000","607.000000","22.000000","1.000000",".000000",".390000","$25,000-49,999","True","2500.000000","D0623679715048926AB9F4D","","","","","","","","","193","8","11","89204","2000","2013-04-26 00:00:00","Q2 2013","93173576199169167625E6A","78.670000","236.010000","117.730000","118.280000","-4.890000",".000000","1882.270000","1882.270000",".000000","1.000000","0","0",".000000","30"
"101B3596709094692AC79C0","1046345","2013-12-03 11:34:46.127000000","","36","Current","",".198590",".162000",".152000",".142560",".064900",".077660","4","C","5.000000","1","LA","Other","Employed","91","True","False","","2013-12-03 11:34:55","660","679","1994-05-03 00:00:00","10","8","51","5","81.000000","3","10.000000","0",".000000","8","1","0","1349.000000",".170000","4770.000000","47.000000",".910000","3.000000",".160000","$25,000-49,999","True","2333.333333","AE413701157050387A7B5B7","","","","","","","","","0","","3","122689","4000","2013-12-18 00:00:00","Q4 2013","C6F33582431585711C036C6","141.020000","280.264700","173.150000","107.114700","-6.720000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"10223590888942486E3826E","950067","2013-10-02 14:31:09.157000000","","36","Current","",".301820",".262900",".252900",".230570",".127500",".103070","2","E","3.000000","15","CA","Engineer - Mechanical","Employed","15","False","False","","2013-09-21 15:33:38","680","699","2000-05-11 00:00:00","2","2","16","2","38.000000","1","4.000000","0",".000000","4","2","0","331.000000",".070000","4069.000000","10.000000",".720000","1.000000",".120000","$75,000-99,999","True","6974.000000","E2733695363511227B7135C","","","","","","","","","0","","5","105431","4000","2013-10-10 00:00:00","Q4 2013","E96236933928960773A10CB","161.780000","647.120000","302.670000","344.450000","-13.110000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","3"
"0F4F3571508214190FD75CB","713131","2013-02-12 18:07:31.690000000","","60","Completed","2013-10-22 00:00:00",".307480",".280900",".270900",".247300",".122500",".124800","2","E","3.000000","1","NY","Sales - Commission","Employed","25","False","False","","2013-02-12 18:07:23","660","679","1975-10-26 00:00:00","7","6","12","6","95.000000","2","3.000000","0",".000000","0","0","0","2033.000000",".300000","3619.000000","10.000000","1.000000","1.000000",".110000","$25,000-49,999","True","3885.916667","3B763675825568665C5122A","","","","","","","","","0","","13","85538","4000","2013-02-21 00:00:00","Q1 2013","D34635704845304767FB258","124.760000","4725.350000","4000.000000","725.350000","-25.810000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","37"
"0F5034867864161084F3789","463083","2010-06-16 16:23:44.533000000","","36","Completed","2013-07-03 00:00:00",".112960",".092000",".082000",".060800",".021000",".060800","6","A","9.000000","1","CO","Executive","Full-time","10","True","False","","2010-06-04 10:18:55","700","719","2000-04-11 00:00:00","16","16","49","11","294.000000","2","8.000000","0",".000000","0","0","0","7246.000000",".090000","30794.000000","40.000000","1.000000","2.000000",".260000","$75,000-99,999","True","6666.666667","7E583591759296638A02214","","","","","","","","","0","","45","43110","4000","2010-06-24 00:00:00","Q2 2010","B39A347662239828607EAC0",".000000","4594.480000","4000.000000","594.480000","-64.620000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","121"
"0F53359346357513247D86B","989519","2013-11-02 16:01:28.050000000","","36","Current","",".202680",".166000",".156000",".146610",".062400",".084210","4","C","4.000000","2","PA","Military Enlisted","Employed","48","True","False","","2013-11-02 16:01:30","720","739","2009-12-22 00:00:00","5","5","7","4","60.000000","0","3.000000","0",".000000","0","0","0","2919.000000",".310000","6381.000000","5.000000","1.000000",".000000",".120000","$25,000-49,999","True","3600.000000","DE4A3697562098725B01EB1","","","","","","","","","0","","4","110393","10000","2013-11-13 00:00:00","Q4 2013","0DE73588988288887B4A5BD","354.540000","6449.992100","6080.070000","369.922100","-22.560000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F563597161095613517437","1051243","2013-12-17 09:18:33.220000000","","36","Current","",".152230",".123900",".113900",".109000",".039900",".069100","6","A","6.000000","1","LA","Other","Employed","16","True","False","","2013-12-17 09:18:36","740","759","1973-12-01 00:00:00","24","21","50","13","533.000000","2","12.000000","0",".000000","0","1","0","17451.000000",".340000","24401.000000","47.000000",".970000","2.000000",".320000","$100,000+","True","10416.666667","A8B83704317372651543A02","","","","","","","","","0","","2","127405","35000","2014-01-16 00:00:00","Q1 2014","BD9D3700316006874885EE9","1169.030000","1157.149200","800.720000","356.429200","-29.730000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F57353904771934596FE9F","555213","2012-01-30 17:59:17.200000000","","36","Completed","2012-12-19 00:00:00",".127820",".099900",".089900",".089700",".038000",".051700","6","A","9.000000","20","CA","Other","Employed","44","False","False","","2012-01-30 17:59:13","740","759","1988-06-01 00:00:00","4","4","19","4","105.000000","0",".000000","1","42488.000000","10","1","0","4307.000000",".130000","25779.000000","18.000000",".720000","1.000000",".110000","$25,000-49,999","True","3750.000000","FBCE36430983505912FD996","","","","","","","","","0","","25","60054","10000","2012-02-07 00:00:00","Q1 2012","340135388011647459E80ED","322.620000","10681.270000","9994.950000","686.320000","-68.220000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","30"
